Designator,Mid X,Mid Y,Rotation,Layer
C1,113.5888,-64.2874,180.0,top
C10,125.2474,-63.1186,90.0,top
C11,124.1806,-63.1164,90.0,top
C12,111.2774,-67.2338,180.0,top
C13,97.8154,-63.9826,90.0,top
C14,103.378,-63.627,90.0,top
C15,126.5292,-71.9312,0.0,top
C16,125.945,-66.7242,180.0,top
C2,113.6396,-63.2714,180.0,top
C3,115.1128,-62.484,90.0,top
C4,113.665,-62.0268,180.0,top
C5,111.6584,-64.7446,180.0,top
C6,111.6584,-63.7032,180.0,top
C7,124.2822,-65.278,90.0,top
C8,125.2728,-65.2754,90.0,top
C9,119.888,-72.8498,270.0,top
J1,91.6556,-67.5132,270.0,top
J2,114.6556,-76.5032,90.0,top
J3,114.6556,-58.5232,90.0,top
J4,138.5456,-67.5132,180.0,top
R1,97.9932,-66.0654,0.0,top
R2,97.9678,-69.342,0.0,top
R3,113.594564,-65.841101,0.0,top
R4,113.594564,-66.780901,0.0,top
R5,124.3702,-67.6422,90.0,top
R6,109.2962,-72.9234,90.0,top
R7,109.2962,-70.9168,270.0,top
SW1,105.5878,-71.374,0.0,top
U1,118.6556,-67.5132,180.0,top
U2,100.5563,-64.9122,0.0,top
U3,111.2012,-70.7898,90.0,top
Y1,126.6054,-69.315,270.0,top
