Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12",0402,2,1uF,
"C10, C11, C18, C2, C20, C3, C4, C5, C6, C7, C8, C9",0402,12,0.1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,33pF,
C21,0402,1,100nF,
C22,0402,1,10nF,
D2,0402,1,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"R1, R2",0402,2,5.1K,
"R3, R4",0402,2,27,
"R5, R7, R8",0402,3,1K,
R6,0402,1,10K,
R9,0402,1,150,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ TR,
U5,QFN24_3X3X0P9_IVS,1,MPU-6500,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
