Designator,Mid X,Mid Y,Rotation,Layer
C1,111.5,-62.6,180.0,top
C10,125.0,-65.7,90.0,top
C11,123.9,-65.7,90.0,top
C12,113.3,-64.5,180.0,top
C13,98.8,-63.5,90.0,top
C14,105.0,-63.0,90.0,top
C15,124.4,-70.6,90.0,top
C16,127.18,-67.6,180.0,top
C18,134.7,-65.3,0.0,top
C2,110.7,-64.9,180.0,top
C20,131.6,-67.3,270.0,top
C21,130.2,-71.0,90.0,top
C22,130.5,-67.3,270.0,top
C3,120.6,-61.32,90.0,top
C4,119.5,-61.4,90.0,top
C5,113.5,-62.3,180.0,top
C6,115.0,-62.6,90.0,top
C7,113.42,-63.4,0.0,top
C8,111.4,-63.9,180.0,top
C9,114.0,-72.0,225.0,top
D2,138.8,-73.2,90.0,top
J1,91.6556,-67.5132,270.0,top
J2,114.6556,-76.5032,90.0,top
J3,114.6556,-58.5232,90.0,top
J4,138.5456,-67.5132,180.0,top
R1,99.21,-66.5,0.0,top
R2,98.5,-69.3,0.0,top
R3,112.9,-65.646022,0.0,top
R4,112.9,-66.746022,0.0,top
R5,125.2,-67.6,180.0,top
R6,107.9,-67.89,270.0,top
R7,106.3,-69.7,0.0,top
R8,135.1,-72.8,180.0,top
R9,137.2,-72.8,0.0,top
SW1,101.2,-71.7,0.0,top
SW2,133.675,-70.425,0.0,top
U1,118.5375,-67.4,180.0,top
U2,101.9625,-64.25,0.0,top
U3,111.1,-70.2,90.0,top
U5,131.479599,-64.057399,0.0,top
Y1,126.7,-70.3,270.0,top
